,precision,recall,f1-score,support
Automatic Rifle,0.7536231884057971,0.9904761904761905,0.8559670781893004,105.0
Bazooka,0.0,0.0,0.0,1.0
Grenade Launcher,0.0,0.0,0.0,18.0
Handgun,0.0,0.0,0.0,2.0
Knife,0.0,0.0,0.0,0.0
Shotgun,0.8,0.23529411764705882,0.36363636363636365,17.0
Sniper,0.0,0.0,0.0,0.0
SMG,0.0,0.0,0.0,0.0
Sword,0.0,0.0,0.0,0.0
accuracy,0.7552447552447552,0.7552447552447552,0.7552447552447552,0.7552447552447552
macro avg,0.17262479871175523,0.13619670090258326,0.13551149353618488,143.0
weighted avg,0.6484645788993616,0.7552447552447552,0.6717367929489142,143.0
overall_accuracy,0.7552447552447552,,,
